"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"462","JB461846","10/4/2018 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"AUBURN GRESHAM",17,"BONA FIDE",NA,1
"463","JB466719","10/8/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"EDGEWATER",40,"BONA FIDE",NA,1
"464","JB474092","10/12/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",1,"LOOP",42,"BONA FIDE",NA,0
"465","JB477576","10/15/2018 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"HUMBOLDT PARK",27,"BONA FIDE",NA,0
"466","JB484791","10/21/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"EAST SIDE",10,"BONA FIDE",NA,0
"467","JB486831","10/19/2018 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"HYDE PARK",5,"BONA FIDE",NA,1
"468","JB500824","11/2/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"469","JB500826","11/2/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"470","JB501662","11/3/2018 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"471","JB505502","11/6/2018 12:00:00 AM","312","ROBBERY: ARMED:KNIFE/CUTTING INSTRUMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"472","JB507330","11/7/2018 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"UPTOWN",46,"BONA FIDE",NA,0
"473","JB509661","11/5/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","Central",18,"LINCOLN PARK",32,"BONA FIDE",NA,0
"474","JB518198","11/11/2018 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","Central",8,"WEST LAWN",13,"BONA FIDE",NA,0
"475","JB522717","11/18/2018 12:00:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",1,"LOOP",2,"BONA FIDE",NA,0
"476","JB523584","11/20/2018 12:00:00 AM","530","ASSAULT: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"477","JB538200","11/29/2018 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",16,"DUNNING",36,"BONA FIDE",NA,0
"478","JB544964","12/8/2018 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","B - RELIGION"," ANTI-JEWISH","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"479","JB550306","12/12/2018 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",14,"LOGAN SQUARE",35,"BONA FIDE",NA,0
"480","JB552596","12/14/2018 12:00:00 AM","2850","PUBLIC PEACE VIOLATION: BOMB THREAT","B - RELIGION"," ANTI-JEWISH","Central",1,"LOOP",34,"BONA FIDE",NA,0
"481","JB552596","12/14/2018 12:00:00 AM","2850","PUBLIC PEACE VIOLATION: BOMB THREAT","B - RELIGION"," ANTI-JEWISH","Central",1,"LOOP",42,"BONA FIDE",NA,0
"482","JB553803","12/14/2018 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"PORTAGE PARK",45,"BONA FIDE",NA,1
"483","JC102583","1/3/2019 12:00:00 AM","420","BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"484","JC111544","1/10/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",9,"BRIGHTON PARK",14,"BONA FIDE",NA,1
"485","JC114135","1/12/2019 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"NEW CITY",3,"BONA FIDE",NA,1
"486","JC125614","1/22/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",10,"NORTH LAWNDALE",28,"UNFOUNDED",NA,1
"487","JC128049","1/21/2019 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",1,"LOOP",2,"BONA FIDE",NA,0
"488","JC133190","1/29/2019 12:00:00 AM","440","BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"UNFOUNDED",NA,1
"489","JC136628","2/1/2019 12:00:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",27,"BONA FIDE",NA,0
"490","JC140362","2/4/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",16,"OHARE",41,"BONA FIDE",NA,0
"491","JC157098","1/28/2019 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"492","JC158986","2/18/2019 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",9,"NEW CITY",11,"BONA FIDE",NA,1
"493","JC162034","2/22/2019 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"494","JC162145","2/22/2019 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"495","JC163849","2/24/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",27,"BONA FIDE",NA,1
"496","JC165267","2/25/2019 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",9,"NEW CITY",11,"BONA FIDE",NA,1
