"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"122","HW522903","11/6/2013 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",17,"NORTH PARK",50,"BONA FIDE",NA,1
"123","HW527106","11/9/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","South",4,"SOUTH SHORE",7,"BONA FIDE",NA,1
"124","HW532564","11/13/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",8,"WASHINGTON HEIGHTS",18,"UNDETERMINED",NA,1
"125","HW536731","11/17/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNDETERMINED",NA,1
"126","HW538371","11/18/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",25,"AVONDALE",30,"UNDETERMINED",NA,1
"127","HW569620","11/8/2013 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",17,"NORTH PARK",50,"UNDETERMINED",NA,0
"128","HX116732","1/16/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,1
"129","HX119600","1/18/2014 12:00:00 AM","620","BURGLARY: UNLAWFUL ENTRY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"HUMBOLDT PARK",27,"UNDETERMINED",NA,0
"130","HX119950","1/19/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",12,"NEAR WEST SIDE",27,"BONA FIDE",NA,1
"131","HX153176","2/16/2014 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",17,"IRVING PARK",39,"BONA FIDE",NA,1
"132","HX153527","2/16/2014 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"CHATHAM",6,"UNDETERMINED",NA,1
"133","HX154641","2/17/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",15,"AUSTIN",28,"BONA FIDE",NA,1
"134","HX154664","2/17/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",8,"ASHBURN",13,"UNFOUNDED",NA,1
"135","HX162956","2/22/2014 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"ALBANY PARK",39,"UNFOUNDED",NA,0
"136","HX168683","3/1/2014 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-ATHEISM/AGNOSTICISM","North",17,"NORTH PARK",50,"UNDETERMINED",NA,0
"137","HX174187","2/22/2014 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"HUMBOLDT PARK",27,"BONA FIDE",NA,0
"138","HX176575","3/8/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",3,"WOODLAWN",20,"BONA FIDE",NA,1
"139","HX181794","3/12/2014 12:00:00 AM","520","ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",14,"WEST TOWN",32,"UNDETERMINED",NA,1
"140","HX182099","3/12/2014 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",24,"EDGEWATER",48,"BONA FIDE",NA,0
"141","HX189009","3/17/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"JEFFERSON PARK",45,"UNDETERMINED",NA,1
"142","HX190878","3/19/2014 12:00:00 AM","440","BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"143","HX193336","3/21/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","Central",9,"NEW CITY",12,"UNDETERMINED",NA,1
"144","HX212981","4/5/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",25,"LOGAN SQUARE",35,"UNDETERMINED",NA,1
"145","HX216107","4/8/2014 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"WEST GARFIELD PARK",28,"BONA FIDE",NA,0
"146","HX229694","4/19/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LAKE VIEW",44,"UNFOUNDED",NA,1
"147","HX236508","4/25/2014 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"OHARE",41,"UNDETERMINED",NA,1
"148","HX242199","4/28/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"NEAR WEST SIDE",2,"BONA FIDE",NA,0
"149","HX242958","4/30/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","South",22,"MORGAN PARK",19,"BONA FIDE",NA,1
"150","HX243523","4/30/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",9,"NEW CITY",11,"UNDETERMINED",NA,1
"151","HX244195","4/30/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"DOUGLAS",3,"UNDETERMINED",NA,1
"152","HX251876","5/6/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",3,"GREATER GRAND CROSSING",5,"BONA FIDE",NA,0
"153","HX270704","5/21/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"MOUNT GREENWOOD",19,"UNDETERMINED",NA,1
"154","HX276604","5/25/2014 12:00:00 AM","291","CRIM SEXUAL ASSAULT: ATTEMPT NON-AGGRAVATED","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"NEAR SOUTH SIDE",3,"BONA FIDE",NA,1
"155","HX282506","5/20/2014 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",27,"UNFOUNDED",NA,1
"156","HX284890","6/1/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",22,"MORGAN PARK",19,"UNFOUNDED",NA,1
"157","HX285364","7/1/2013 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,1
"158","HX285776","5/20/2014 12:00:00 AM","890","THEFT: FROM BUILDING","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",12,"WEST TOWN",1,"UNDETERMINED",NA,0
"159","HX285776","5/20/2014 12:00:00 AM","890","THEFT: FROM BUILDING","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",12,"WEST TOWN",36,"UNDETERMINED",NA,0
"160","HX293356","6/7/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"161","HX300250","6/7/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"DOUGLAS",4,"BONA FIDE",NA,0
"162","HX305749","6/16/2014 12:00:00 AM","2830","OTHER OFFENSE: OBSCENE TELEPHONE CALLS","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"DUNNING",38,"UNFOUNDED",NA,0
"163","HX309192","6/18/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",1,"LOOP",42,"UNDETERMINED",NA,1
"164","HX314645","6/22/2014 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"EAST GARFIELD PARK",28,"UNDETERMINED",NA,1
"165","HX322153","6/27/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",8,"GARFIELD RIDGE",23,"BONA FIDE",NA,0
"166","HX327373","7/1/2014 12:00:00 AM","520","ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"IRVING PARK",33,"UNFOUNDED",NA,1
"167","HX328477","7/2/2014 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,1
"168","HX334277","7/6/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",17,"ALBANY PARK",33,"BONA FIDE",NA,1
"169","HX346558","7/15/2014 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",5,"PULLMAN",9,"UNDETERMINED",NA,1
"170","HX351552","7/18/2014 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",44,"UNDETERMINED",NA,0
"171","HX371425","8/2/2014 12:00:00 AM","501H","OTHER OFFENSE: HAZARDOUS MATERIALS VIOLATION","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"PORTAGE PARK",38,"UNDETERMINED",NA,0
"172","HX382136","8/10/2014 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"HUMBOLDT PARK",37,"UNDETERMINED",NA,1
"173","HX396366","8/21/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"174","HX399787","8/23/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"175","HX400953","8/24/2014 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",17,"IRVING PARK",45,"UNDETERMINED",NA,1
"176","HX420122","9/8/2014 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",46,"UNDETERMINED",NA,0
"177","HX426273","9/12/2014 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","South",7,"ENGLEWOOD",16,"UNDETERMINED",NA,1
"178","HX426914","9/13/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"LINCOLN PARK",32,"UNDETERMINED",NA,0
"179","HX426914","9/13/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"180","HX429047","9/14/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"181","HX434230","9/18/2014 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"MORGAN PARK",19,"BONA FIDE",NA,0
"182","HX451568","10/1/2014 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",24,"ROGERS PARK",49,"UNFOUNDED",NA,1
"183","HX490299","11/1/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNDETERMINED",NA,1
"184","HX505905","11/13/2014 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION","ANTI-ISLAMIC/MUSLIM","Central",10,"SOUTH LAWNDALE",22,"BONA FIDE",NA,1
"185","HX506837","11/14/2014 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"LOWER WEST SIDE",25,"UNFOUNDED",NA,0
"186","HX509726","11/17/2014 12:00:00 AM","1210","DECEPTIVE PRACTICE: THEFT OF LABOR/SERVICES","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",19,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"187","HX534548","12/8/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"EAST SIDE",10,"BONA FIDE",NA,0
"188","HX534689","12/8/2014 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"BRIDGEPORT",11,"UNDETERMINED",NA,0
"189","HX534870","12/8/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"DOUGLAS",2,"UNFOUNDED",NA,1
"190","HX543615","12/15/2014 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",10,"SOUTH LAWNDALE",22,"UNFOUNDED",NA,1
"191","HX546655","12/18/2014 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"LINCOLN SQUARE",40,"BONA FIDE",NA,0
"192","HX547878","12/18/2014 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",16,"PORTAGE PARK",30,"BONA FIDE",NA,1
"193","HX548299","12/17/2014 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",8,"ASHBURN",18,"BONA FIDE",NA,0
"194","HX557362","12/27/2014 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"195","HY100618","1/1/2015 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"AVALON PARK",8,"UNDETERMINED",NA,0
"196","HY116305","1/15/2015 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","B - RELIGION"," ANTI-CATHOLIC","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"197","HY118562","9/13/2014 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","Central",2,"HYDE PARK",4,"BONA FIDE",NA,0
"198","HY125329","1/22/2015 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",16,"DUNNING",36,"BONA FIDE",NA,0
"199","HY150578","2/13/2015 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","B - RELIGION"," ANTI-CATHOLIC","North",20,"WEST RIDGE",40,"BONA FIDE",NA,0
"200","HY157810","2/20/2015 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION","ANTI-ISLAMIC/MUSLIM","Central",1,"LOOP",34,"BONA FIDE",NA,0
"201","HY157810","2/20/2015 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION","ANTI-ISLAMIC/MUSLIM","Central",1,"LOOP",42,"BONA FIDE",NA,0
"202","HY160201","2/22/2015 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",15,"AUSTIN",24,"BONA FIDE",NA,1
"203","HY169249","3/1/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"BEVERLY",19,"UNDETERMINED",NA,0
"204","HY169976","3/3/2015 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"205","HY170081","3/2/2015 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","Central",1,"DOUGLAS",4,"BONA FIDE",NA,1
"206","HY174230","3/6/2015 12:00:00 AM","5081","NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY","B - RELIGION"," ANTI-OTHER RELIGION","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"207","HY178977","3/5/2015 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","B - RELIGION"," ANTI-JEWISH","Central",2,"KENWOOD",4,"UNDETERMINED",NA,0
"208","HY193006","3/21/2015 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",3,"WOODLAWN",20,"UNFOUNDED",NA,1
"209","HY193848","3/22/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",25,"MONTCLARE",36,"UNDETERMINED",NA,0
"210","HY202590","3/29/2015 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"GRAND BOULEVARD",3,"UNDETERMINED",NA,1
"211","HY205975","2/25/2015 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","Central",1,"LOOP",42,"UNDETERMINED",NA,0
"212","HY207955","4/1/2015 12:00:00 AM","4230","KIDNAPPING: UNLAWFUL RESTRAINT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"UPTOWN",48,"BONA FIDE",NA,0
"213","HY212382","4/6/2015 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"214","HY237759","4/27/2015 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"215","HY237924","4/27/2015 12:00:00 AM","501H","OTHER OFFENSE: HAZARDOUS MATERIALS VIOLATION","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"216","HY244464","5/2/2015 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",27,"UNDETERMINED",NA,1
"217","HY244928","5/2/2015 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"PORTAGE PARK",38,"UNDETERMINED",NA,1
"218","HY254321","5/10/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"NEAR SOUTH SIDE",2,"UNDETERMINED",NA,0
"219","HY254321","5/10/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"NEAR SOUTH SIDE",3,"UNDETERMINED",NA,0
"220","HY257370","5/8/2015 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"OHARE",41,"UNFOUNDED",NA,0
"221","HY264525","5/17/2015 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"UNDETERMINED",NA,1
"222","HY280672","5/30/2015 12:00:00 AM","420","BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"NEW CITY",11,"UNFOUNDED",NA,1
"223","HY283099","6/1/2015 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"NEAR WEST SIDE",2,"UNFOUNDED",NA,1
"224","HY288250","6/4/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"UPTOWN",48,"UNDETERMINED",NA,0
"225","HY288567","6/4/2015 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,1
"226","HY294114","6/9/2015 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",14,"WEST TOWN",32,"UNDETERMINED",NA,0
"227","HY297617","6/11/2015 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION","ANTI-ISLAMIC/MUSLIM","South",7,"WEST ENGLEWOOD",17,"UNDETERMINED",NA,0
"228","HY303316","6/16/2015 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",40,"BONA FIDE",NA,1
"229","HY305892","6/18/2015 12:00:00 AM","1340","CRIMINAL DAMAGE: TO STATE SUP PROP","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,0
"230","HY317670","6/27/2015 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",22,"WASHINGTON HEIGHTS",21,"UNDETERMINED",NA,1
"231","HY331252","7/7/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",11,"NORTH LAWNDALE",24,"UNDETERMINED",NA,0
"232","HY337528","7/12/2015 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"233","HY343857","7/17/2015 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"AVONDALE",31,"BONA FIDE",NA,1
"234","HY346659","7/19/2015 12:00:00 AM","460","BATTERY: SIMPLE","B - RELIGION"," ANTI-OTHER RELIGION","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,1
"235","HY349355","7/20/2015 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"ARMOUR SQUARE",11,"UNDETERMINED",NA,1
"236","HY354347","7/24/2015 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",22,"WASHINGTON HEIGHTS",21,"BONA FIDE",NA,1
"237","HY358108","7/27/2015 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",2,"GRAND BOULEVARD",3,"UNDETERMINED",NA,1
"238","HY369360","8/4/2015 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",15,"AUSTIN",28,"UNDETERMINED",NA,0
"239","HY371795","8/6/2015 12:00:00 AM","281","CRIM SEXUAL ASSAULT: NON-AGGRAVATED","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"240","HY372255","8/7/2015 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"SOUTH CHICAGO",7,"UNDETERMINED",NA,1
"241","HY374377","7/29/2015 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","North",25,"AUSTIN",29,"BONA FIDE",NA,0
"242","HY379625","8/11/2015 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"PORTAGE PARK",38,"BONA FIDE",NA,0
